Review,Comments,Ratings,Locations,Time,Positive_Score,Negative_Score,Neutral_Score,Sentiment,Subjectivity_Score
Best in the market!,Overall a good phone. Camera 4.5/5Display 5/5Sound 5/5Connectiviry 4.5/5Haptics 4.5/5Battery / Charging 5/5Performance 5/5,5, Kalahandi District,7 months ago,0.7964,0,0.7964,Positive,0.32500000000000007
Delightful,"The review is after 2 weeks , Camara - 8.5/10The night photography is really good, the selfie is not really good but we can take decent photos with the 16M camera , The video quality is good and stable in 1080 30 fps but when it goes to 60fps the video is not stable same as in 4K , The day light photography is also awesome and the potrait photo as using Gcam will be good for ultra wide shorts.Display-9.7/10The display is just awesome, Faced only one issue is that the brightness should be ...",4, Ernakulam,8 months ago,0.9845,0,0.9845,Positive,0.7166666666666668
Wonderful,Nice phone Camera is too good ,5, Samastipur District,4 months ago,0.8555,0,0.8555,Positive,0.8666666666666667
Super!,Camera is good . Battery performance is also good. Display is good. Overall Phone performance is very good and i loved it.,5, Pandua,7 months ago,0.9607,0,0.9607,Positive,0.5523809523809524
Fabulous!,"Redmi Note 12 Pro 5G Nice Phone, Camera  Good, Display Very Nice, Battery  Super, Sound  Quality Awesome .Thank U  Redmi ",5, Deoria District,7 months ago,0.9698,0,0.9698,Positive,0.8095238095238095
Worth every penny,"Super smartphone and display osme,, camera overall very good but front camera normal,, looks very osme,, battary backup super , but i like it redmi note 12 pro",5, Bharatpur District,7 months ago,0.9337,0,0.9337,Positive,0.4472222222222222
Delightful,"Honest review after using this phone from last 15 days... Display - Super using with 120hz, Battery - Average, Speaker - Awesome,Charging in 67W feel loved, And main reason using 5g after buying is value for money",4, Balangir,nan,0.9538,0,0.9538,Positive,0.5952380952380951
Very Good,"I write this review after 2month of uses, I think one of the best phone in this price range1.Battery perfomance is too good2.Display quality is also good3.camera performance is not that good, but in this price range ok ok type4.Haptic moter also work good5.sound quality ows6.Display brightness in indoor condition is good but outdoor not that good7.Software experiance is good, less add as compare to previous8.Charging time also goodoverall a balance and allrounder phone in this price ...",4, Sambalpur,7 months ago,0.9674,0,0.9674,Positive,0.4708333333333334
Terrific purchase,Camera is very good... Battry is awesome for now ,5, Rajapur,6 months ago,0.8779,0,0.8779,Positive,0.8666666666666667
Best in the market!,Best camera  in this price range.Battery  backup is good.Awesome display.,5, Medinipur,7 months ago,0.8555,0,0.8555,Positive,0.3
Nice,((Better go with oppo or realme))The phone was good but main problem is with speaker the display and phone feels vibration while playing songs and videos. Miui is an heavy ui where mediatek 1080 is good processor for gaming but battery not expected due to uiDisplay was lovely  speaker not at all good forget about Dolby,3, Kandukur,7 months ago,0.9371,0,0.9371,Positive,0.5658333333333333
Just wow!,Good design phone.. Nice camera light weight,5, Chakan,8 months ago,0.8591,0,0.8591,Positive,0.825
Expected a better product,"Over heating problem. After 3 months use, my overall experience is not good. This phone has over heating problem like other Redmi phone. charging time is approx 1 hr that means not fast charging. Battery backup is very poor about 6hr when you charge 100% sometimes camera starts lagging. Camera quality good but other feature is not as expected.",4, Darbhanga,8 months ago,0.1531,0,0.1531,Positive,0.4625
Nice product,Excellent Camera Performance Battery performance is Good Great AMOled Display Awesome Fast Charging Overall Awesome Mobile ,4, Kurnool District,2 months ago,0.9709,0,0.9709,Positive,0.7437499999999999
Nice product,"After two weeks of use.. I found redmi note 12 pro 5G as very decent phone under this price range. If you are looking for an allrounder you can definitely go for this phone.. The positive sides are design (I got the purple variant), display, sound quality, battery performance and good quality images under proper light.. I am not that much satisfied with the front camera..however this phone is worth for this price range.",5, Kuruvattur,8 months ago,0.9403,0,0.9403,Positive,0.5612121212121212
Brilliant,I got my phone today.. It's just amazing,4, Kalamassery,7 months ago,0.8225,0,0.8225,Positive,0.95
Value-for-money,* Positive: 1) Display is good bcoz of Oled 120HRZ2) Good Charging speed 67W3) Good performance bcoz of Mediatek 10804) Light Weight5) Minimal Bezel* Negative1) Selfie camera photos are bad produce artificial skin color and no details in images2) always on display is only for 10 second3) screen darkening problem4) High price phone5) Android 12 out of the box instead of 13 as we compare to priceOver all satisfied recommended phone,5, Dondaicha Warwade,nan,0.7184,0,0.7184,Positive,0.6043434343434344
Classy product,Price little bit morePhone goodSound awesomeDisplay superbDesign good,5, Bangalore,7 months ago,0.7003,0,0.7003,Positive,0.6666666666666666
Just wow!,Shimla view,5, Saharanpur District,8 months ago,0.5859,0,0.5859,Positive,1.0
Just wow!,One of the best phone,5, Visakhapatnam,2 months ago,0.8402,0,0.8402,Positive,0.65
Just wow!,Awesome. .battery backup fantastic. .camera excellent .....,4, Pune,8 months ago,0.9451,0,0.9451,Positive,0.975
Very Good,Positives :1) awesome display2) good quality speakers3) 3.5 mm audio jack4) charging speed ( 67w)5)PerformanceNegatives:1)battery backup2)camera performance ( The camera struggles a lot in low light conditions),5, Coimbatore,8 months ago,0.8658,0,0.8658,Positive,0.64
Super!,"A bit overpriced, but in 2023 its gonna be the normal. Price for phones so it ok. got it for my sister and she is impressed by the performance :) Decent specs, good display , quick charge and 5g enabled",5, New Delhi,8 months ago,0.9022,0,0.9022,Positive,0.6547619047619048
Just wow!,Good phone,5, Nadia District,8 months ago,0.7717,0,0.7717,Positive,0.8
Terrific purchase,This phone is all rounder phone amazing performance  battery very good camera osam because ois display is very very good  speaker is outstanding because Dolby atmost all is very good,4, Guwahati,7 months ago,0.9618,0,0.9618,Positive,0.7625000000000001
Very Good,Really happy with this phone after using it for three days. Camera quality awesomeLookwise really premium Battery life is very good for me as I am non gamer it last for more than 24hrs after one charge of 90%.Overall good product.,4, Jalandhar,7 months ago,0.9134,0,0.9134,Positive,0.4380952380952382
Pretty good,display is outstanding. sounds quality is very good. camera looks like average but it can be fix by software update. very good performance. build quality is awesome.design is good,5, Porbandar,nan,0.9652,0,0.9652,Positive,0.6678571428571429
Must buy!,"these mobile is a value for money phone Rear camera is an awesome Selfie camera is a good level Performance is a pick level And the most important is a display , it is a superb amoled display .And the another best is dolby atmos sound , so love it",3, Ahmedabad,8 months ago,0.9741,0,0.9741,Positive,0.7
Decent product,Product is good. Delivery exp is worst...,5, Kollam District,7 months ago,-0.296,0.296,0.0,Negative,0.7555555555555555
Great product,Super camera quality,5, Bhushan Steel Plant Meramandali Township,8 months ago,0.8402,0,0.8402,Positive,0.7083333333333333
Best in the market!,Good,5, Padrauna,7 months ago,0.7964,0,0.7964,Positive,0.45000000000000007
Brilliant,Just an Amazing phone.,5, New Town,5 months ago,0.8225,0,0.8225,Positive,0.95
Highly recommended,Guys Believe me this pro version is the best all-rounder redmi Note series. If you can take advantage of the discount please go for it and you will not get disappointed either will fell in love with the display. Really the display is damn good .,4, Madhepura,7 months ago,0.8974,0,0.8974,Positive,0.49833333333333335
Pretty good,Awsome phone,5, Mumbai,7 months ago,0.7269,0,0.7269,Positive,0.8
Awesome,I'm very happy with buying this phone. I like it's sound quality and display. Running very smoothly and fast work. Charger 67W but not charge fast just normalAnd the camera quality was not good as expectedRedmi all phone have to improve their camera quality,5, Bilaspur,8 months ago,0.9442,0,0.9442,Positive,0.7000000000000001
Terrific purchase,GoodWorth buyingLittle pricy but worth it,3, Mumbai,7 months ago,0.6124,0,0.6124,Positive,0.55
Good,Ok ..... awesome,4, Palitana,nan,0.8481,0,0.8481,Positive,0.7000000000000001
Good quality product,"Really nice look, in hand feeling is also very good.The camera is literally awesome, especially in low light conditions.For performace need to use more couple of days , but initially looks good.All in one really good product",5, Mumbai,8 months ago,0.9389,0,0.9389,Positive,0.6428571428571429
Super!,100% recommended...,5, Salar,8 months ago,0.6908,0,0.6908,Positive,0.6666666666666666
Perfect product!,AwesomeI am happy ,5, New Delhi,7 months ago,0.8126,0,0.8126,Positive,1.0
Awesome,Cemera queaty is  Good pro,4, Guntur District,8 months ago,0.7906,0,0.7906,Positive,0.8
Really Nice,"I am writing this review after 1 month of usage.Looks very decent, light weight, no heating problem, display is fine, performance is good, not found any bug during multi tasking charging is fast but not actually in 15 minutes. It will be 80% from 10 within 15 minutes that's for sure. And yes, video and sound quality is awsome.Camera is just ok.Battery backup is one day considering normal use, if you are playing game for couple of hours, you need to recharge twice a day.At this budget,...",5, Sihor,4 months ago,0.8718,0,0.8718,Positive,0.5914141414141415
Awesome,Outstanding mobile phone ,5, Harirampur,6 months ago,0.8442,0,0.8442,Positive,0.9375
Waste of money!,"5G Signal Issue on Redmi Note 12 ProI am encountering on my Redmi Note 12 Pro When my phone switches to 4G signal, it never switches back to 5G even though I am in an area with 5G coverage. The only solution to resolve this issue is to restart my phone.I have tried troubleshooting the issue by following the recommended steps, such as restarting my phone, changing the network type to 5G, disabling and re-enabling the 5G network, 2.  if i using 5G network and receive a call or we dial to so...",5, Baddi,8 months ago,0.128,0,0.128,Positive,0.03333333333333333
Excellent,All are Camera better,5, Lucknow District,6 months ago,0.765,0,0.765,Positive,0.75
Worth every penny,"Unbelievable performance of this mobile. Camera, display, and battery backup is very good. AndVery fast delivery by flipcart.",3, Mirzapur Cum Vindhyachal,7 months ago,0.6808,0,0.6808,Positive,0.5750000000000001
Best in the market!,"After purchasing and writing review. Redmi note 12 pro really nice phone. Good Camera, excellent Display, smooth touch. I am satisfied. This product.",4, Unnao,nan,0.9513,0,0.9513,Positive,0.7333333333333334
Slightly disappointed,"I am using this phone last 15 days. Display quality supurb, Camera  also very good quality. Front camera not much better. Sound quality also too good. I am facing two main issues firstly when I am taking to any one when proximat sensor working fine but call auto hold. Most of the time I realised this issues. 2nd most issues 5G Network issue In Ranchi Jharkhand Jio and Airtel fully start their 5G Network infact Redmi K50 has showing 5G Network Samsung showing 5G Network but Redmi note 12 pro...",5, Ranchi,7 months ago,0.7713,0,0.7713,Positive,0.4537037037037038
Good,"1. Cameras, both front and rear are just average not good. Especially the front camera is just not able to control the exposure right . 2. Display brightness is not adequate under sunlight. 3. Battery is draining fast. 4. Signal pickup is not as good as samsung. 5. Poco x5 pro released by mi has better specs at 5k lesser.",5, Chennai,7 months ago,0.9337,0,0.9337,Positive,0.5721861471861472
Delightful,Good ,3, Paschim Medinipur District,7 months ago,0.7717,0,0.7717,Positive,0.8
Highly recommended,Amazing phone and just wow  backpase,4, Bankura District,7 months ago,0.8742,0,0.8742,Positive,0.8133333333333334
Super!,"This is the all rounder phone. If u want experience all necessary things which must required in a phone, then definitely go with this.",5, Sobhaganj,7 months ago,0.7845,0,0.7845,Positive,0.7222222222222222
Terrible product,"Editing review after a month of useWorst phone is now became worstest phone. Camera quality is getting very bad day by day. Photo that taken already also had reduced it's quality and looks like dragged image. Strongly advising not to buy this phone.***********Alert to Middle class Friends and MI fans *************Middle class friends who think multiple times please consider my review.This is not worth for moneyPhone is heating for minimal usage, some review they mentioned it has coolin...",5, Rasipuram,7 months ago,0.7351,0,0.7351,Positive,0.3875
Nice,Great phone go for it now,5, Paria,4 months ago,0.7845,0,0.7845,Positive,0.875
Good quality product,Overall Good Phone,5, Gomoh,7 months ago,0.7003,0,0.7003,Positive,0.4000000000000001
Must buy!,Nice phone in 2023Nice cameraI  this phone,5, Dehri,7 months ago,0.6808,0,0.6808,Positive,1.0
Awesome,Good,5, Bengaluru,nan,0.7906,0,0.7906,Positive,0.8
Best in the market!,Looking good,4, Khammam,8 months ago,0.7964,0,0.7964,Positive,0.45000000000000007
Fabulous!,"Nice phone. Camera is good at day time and low light good but not great. Charging is super fast within an hour it will get charge fully. I have compared with iphone 13 pro also, in some times this phone is winner. Considering this budget it's good phone to buy, no other phone beat in this segment, this is the winner.",5, Hyderabad,8 months ago,0.9825,0,0.9825,Positive,0.6816666666666666
Absolute rubbish!,Product is too costly according features even previous mi note 7 pro cammera is better than note 12 pro very dissatisfied with this variant and very awful experience.,5, Bhokardan,7 months ago,-0.4767,0.4767,0.0,Negative,0.6416666666666666
Must buy!,Awesome and cute looking worth to buy it ,3, Siliguri,7 months ago,0.8402,0,0.8402,Positive,0.7000000000000001
Worth every penny,My first impression on this phone is quite mixed. It has a very good display which provides clear and bright images and an immersive viewing experience while watching videos.On the battery part it gives decent performance. I would not rate that high. I have no complain on its audio quality. That is more than enough.Its rear camera is good but not outstanding which doesn't justify its hype at all. What I am more concerned with is its front camera that needs to improve. It clicks nuclear pictur...,4, Naihati,2 months ago,0.9587,0,0.9587,Positive,0.5148333333333334
Pretty good,After using gor 15 days. Internet speed is good. Jio 5g working 350 mbps. Back camera is good not excellent. Front camera is average. Battry back up is not up to the mark. Charging speed is excellent.,5, Chennai,5 months ago,0.9601,0,0.9601,Positive,0.5777777777777778
Just wow!,"Nice mobile, Pros:Camera superPerformance bestDisplay amazingCharging speed goodSound  quality superbCons: Could be better to update Android 13Not giving external memory card slotUnwanted apps are installed",4, Coimbatore,7 months ago,0.8979,0,0.8979,Positive,0.65
Awesome,Very nice phone,5, New Delhi,7 months ago,0.7845,0,0.7845,Positive,1.0
Fair,"Camera is average, bad battery backup drain out very  fast.",5, Thane District,8 months ago,-0.296,0.296,0.0,Negative,0.6416666666666667
Good quality product,Good  Camera is okDesign is awesome Fast charging is good,4, Patna,nan,0.9153,0,0.9153,Positive,0.68
Simply awesome,1.design and looks 5/5 2. display 5/5 3.charging technology 5/5 complete charge in 35-40 min. 4.main camera 5/5 day and night shot is osm 5.selfie camera 4/5 could be better 6.heptic motor is super overall rating 4.5/5 I suggest buy for day by day task and normal photography,4, Ajmer,2 months ago,0.8979,0,0.8979,Positive,0.5071428571428571
Worth the money,Good camera. But battery not good... battery drain so fast.. design old type....,5, Dakshin Dinajpur District,7 months ago,0.7717,0,0.7717,Positive,0.4200000000000001
Worst experience ever!,"Bad Camera quality , Calling Display senser very poor ,",5, Khedbrahma,8 months ago,-0.8934,0.8934,0.0,Negative,0.7555555555555555
Must buy!,Looking for very nice ,5, Sahibganj,8 months ago,0.4215,0,0.4215,Positive,1.0
Perfect product!,The phone is amazing. The camera is good but not great hopefully Android 13 will optimise the photos zero hundred takes around 40 min but it will heat a lotSo I prefer to charge when it is 50%  display is amazing,4, Udupi,8 months ago,0.9747,0,0.9747,Positive,0.8300000000000001
Nice product,Its feels good to hold and considerably light to hold when compared to Redmi Note 9 Pro Max. The stardust Purple has just hint of very light purple. So light that at first glance with looks like white. The sparkle add to premium ad good feel. DISPLAY is realky good. It has 3.5 earphone jack which is great. Best thing is It comes with TPU cover which is a must as ones available in mkt will never have fit and finish of OEM. Camera is good and so is performace. Will add another update after 1 mo...,5, Navi Mumbai,5 months ago,0.9774,0,0.9774,Positive,0.5488095238095239
Wonderful,Camera is best and performance better. Battery backup is too good,5, Rohtas District,8 months ago,0.9287,0,0.9287,Positive,0.6000000000000001
Did not meet expectations,"Worst experience with Flipkart and the seller. I had a product to exchange. They automatically cancelled the exchange without contacting Tried to raise the issue with the customer care , but they are even worse , they cut the call during conversation. Very bad experience.",4, Chittoor District,2 months ago,-0.891,0.891,0.0,Negative,0.7555555555555555
Fabulous!,Very good photos in night mode 50ois working awesome best mid phone in 25k,5, Siwan District,3 months ago,0.9393,0,0.9393,Positive,0.58
Awesome,I have seen a lot of videos about this phone..... Every youtubers said that camera is not good.... But believe me it is top notch..... It is far better than i expected.,5, Bhopal,nan,0.8934,0,0.8934,Positive,0.6666666666666666
Utterly Disappointed,Very bad phone. Bluetooth stopped working after May security patch update,5, New Delhi,6 months ago,-0.7698,0.7698,0.0,Negative,0.7083333333333333
Simply awesome,One of the best phone in the market,3, Guwahati,6 months ago,0.8519,0,0.8519,Positive,0.65
Wonderful,Must camera,5, Bharuch,6 months ago,0.5719,0,0.5719,Positive,1.0
Great product,It's good device,4, Shirur Anantpal,6 months ago,0.7906,0,0.7906,Positive,0.675
Worthless,Battery very life very bad only 4 to 5 hours only,4, Chennai,7 months ago,-0.7506,0.7506,0.0,Negative,0.7833333333333333
Worth every penny,You looking for a value for money phone under 25kThis is the best option ,5, Kollam District,7 months ago,0.8176,0,0.8176,Positive,0.2
Good quality product,Here is my after 3 days of usageCamera:4/5Display :5/5Speakers:5/5Design:4/5Battery 3/5Performance:4.5/5,4, Hanamkonda,7 months ago,0.4404,0,0.4404,Positive,0.6000000000000001
Highly recommended,Very nyc note12 pro is God but battery little God,5, Rudauli,7 months ago,0.6478,0,0.6478,Positive,0.52
Absolute rubbish!,Hitting problem  Charging problemHitting problemCharging problemHittting problemCharging problemNo any by redmi mobile No any By redmi mobileHittting problem No any By redmi mobile,5, New Delhi,7 months ago,-0.6597,0.6597,0.0,Negative,0.9
Unsatisfactory,Charging take 1hr to full becomes empty quickly even though not use,3, Bengaluru,nan,-0.2023,0.2023,0.0,Negative,0.5166666666666667
Worth every penny,Camera is outstanding. Charging speed is great. Battery drains a little in 5G. Best phone one can go for in this price range. Headphone jack is a lifesaver.,4, Faridabad,5 months ago,0.9566,0,0.9566,Positive,0.505
Wonderful,"Talking about the most important aspects in a smartphone, I would rate:1. Display - 5/5 ( Considering the price range, Xiaomi has packed the best display for this smartphone). 2. Camera - 4/5 ( The camera is great for this price range, the hardware is really good cosidering the price but xiaomi isn't able to fully utilize this excellent combo of IMX766 with OIS. The camera quality can be improved further with software updates. 3. Battery - 4/5 ( 5000mah with 67 watts fast charging support,...",5, Dumka,5 months ago,0.9794,0,0.9794,Positive,0.734375
Fair,"I really loved the dolby atmos and display, but the battery management is not that great for a 5000mAh battery. It is draining faster than expected. I don't know if the issue is with only my device model or it's the issue of the software.",5, Dehradun,6 months ago,0.8908,0,0.8908,Positive,0.7125
Best in the market!,"GO FOR IT! I can say that In this price range redmi note 12 pro complete everything which is missing in other mobiles in this price range... Overall performance,display,camera everything is good...No useless advertising or pre installed apps are less..",5, Raver,7 months ago,0.0516,0,0.0516,Positive,0.16944444444444443
Nice product,Macro camera very poorVideo  full hd 60 frames and 4k ois not working,5, Thodupuzha,7 months ago,0.4215,0,0.4215,Positive,0.775
Pretty good,Overall Ok,3, Kendrapara District,8 months ago,0.8074,0,0.8074,Positive,0.525
Wonderful,Excellent,4, Bengaluru,8 months ago,0.8126,0,0.8126,Positive,1.0
Value-for-money,Nice phone,4, Kanpur,8 months ago,0.4215,0,0.4215,Positive,1.0
Very poor,"Not happy with this price . Camera also average, not recommended,feels  like 12k to 15 k mobile.",5, Sira,7 months ago,0.4767,0,0.4767,Positive,0.6666666666666666
Must buy!,"I am using this mobile for 20 days and reviewing it. Camera performance 50 mp sony imx 766 5/5Front camera averege 4/5Device design.. Awesome 5/5 premium lookPerformance  very smooth, very fast   no hang 5/5 Gaming is also good. Overall redmi note 12 pro value for money. Go for it ,buy without hesitation.",5, Bettiah,nan,0.8811,0,0.8811,Positive,0.54
Just wow!,Very good mobileAwesome displayGood cameraCharging speed very fast,5, Mangaluru,6 months ago,0.7717,0,0.7717,Positive,0.7333333333333334
Not recommended at all,"Phone freezes, display becomes dark, system ui isn't responding feedback, power button doesn't work",5, Jalpaiguri District,7 months ago,0.1779,0,0.1779,Positive,0.4
Good,"Apart from stylish look and smooth display , not much improvements in this phone. Camera is just average, unnecessary whitening the photos kindly give the update to solve this issue. OIS in video works fine but not so good. Battery is darining so fast.",5, Neyyattinkara,7 months ago,0.9169,0,0.9169,Positive,0.6199999999999999
Absolute rubbish!,"Battery is draining and phone is slow ,,experience like old Phone.. By Using the phone less than 15 hours",4, Vijayawada,8 months ago,0.3612,0,0.3612,Positive,0.39166666666666666
Delightful,Product is good nice look,5, Prayagraj,8 months ago,0.8591,0,0.8591,Positive,0.8666666666666667
Simply awesome,THIS MOBILE  AWESOME ,5, Pipraich,8 months ago,0.8481,0,0.8481,Positive,1.0
Awesome,camera  best phone  redmi note 12 Pro  5G Best Photo Good lucky,5, Ramagundam,7 months ago,0.9595,0,0.9595,Positive,0.6066666666666667
Just wow!,Phone is good . Camera quality is  excellent,5, Gurgaon,7 months ago,0.886,0,0.886,Positive,0.8666666666666667
Just wow!,Camera : it is good but can be improved hope they will definitely fixed by update by xiaomiVideo : only 1080p at 30 fps is quite stable and in rest    frame rate  very unstable video hope it will be fixed through update by xiaomiOS : Android 12 it must be Android 13 in 2023 but hope they will give update till Android 15 as they promised 2 year os updateChipset : mdtk 1080 is quite good but don't know why it's antutu score is near 44lakh but same chipset in realme 10 pro + is above 51 la...,5, Bagaha 2,7 months ago,0.9766,0,0.9766,Positive,0.5
